Node Number,Thread Number,Spatial Distribution,Temporal Distribution,T/R,Processor Utilization ,Channel Waiting Time,Input Waiting Time,Network Response Time,Channel Utilization,Column1,_1,_2,_3,_4
64,4,UN,Client-Server,1,839546,1974686,308491814,700514102,352431,,,,,
64,4,UN,Client-Server,2,827412,9556437,291037663,864599227,506302,,,,,
64,4,UN,Client-Server,3,802605,27027618,264928002,839372851,638516,,,,,
64,4,UN,Client-Server,4,723403,61848511,235776888,1256053108,767051,,,,,
64,4,UN,Client-Server,5,72121,121085884,189680044,1343875577,807812,,,,,
64,4,UN,Client-Server,6,647035,205881088,145988097,1574366301,841771,,,,,
64,4,UN,Client-Server,7,567402,284999115,118323674,1974853192,85033,,,,,
64,4,UN,Client-Server,8,511627,368157288,92003542,1845521914,865625,,,,,
64,4,UN,Client-Server,9,47056,431169037,8043286,2605196106,888828,,,,,
64,4,UN,Client-Server,1,421877,505119598,68518468,2586130982,882552,,,,,
64,6,UN,Client-Server,1,901173,2153823,495533336,866002265,370026,,,,,
64,6,UN,Client-Server,2,897863,11002777,469872618,1188628365,53691,,,,,
64,6,UN,Client-Server,3,871957,31924433,447158333,1351075304,65737,,,,,
64,6,UN,Client-Server,4,853846,84117371,395848075,1413081946,772778,,,,,
64,6,UN,Client-Server,5,796428,194432526,311877373,1804085211,852561,,,,,
64,6,UN,Client-Server,6,731779,341365112,217600589,2114035099,910729,,,,,
64,6,UN,Client-Server,7,640211,495164948,157213968,2275428465,916259,,,,,
64,6,UN,Client-Server,8,568923,626139282,121870069,3297253072,924583,,,,,
64,6,UN,Client-Server,9,514046,741330261,101696076,2923876773,931484,,,,,
64,6,UN,Client-Server,1,463145,851930115,86442861,380898919,931076,,,,,
64,8,UN,Client-Server,1,923706,2222387,68857719,1141277162,346441,,,,,
64,8,UN,Client-Server,2,922138,11448802,664122822,1192856244,518889,,,,,
64,8,UN,Client-Server,3,928869,36851643,622974259,1456320301,683047,,,,,
64,8,UN,Client-Server,4,911611,97074905,559575905,1949797805,809028,,,,,
64,8,UN,Client-Server,5,850776,260288574,438777004,253121942,888976,,,,,
64,8,UN,Client-Server,6,768916,498907104,281908378,2677461345,933802,,,,,
64,8,UN,Client-Server,7,673281,703671875,202216033,3430493664,940807,,,,,
64,8,UN,Client-Server,8,601595,886009094,147831672,3378167663,951667,,,,,
64,8,UN,Client-Server,9,538158,1042865601,123761679,4793187737,955781,,,,,
64,8,UN,Client-Server,1,488247,1182806885,10813343,5033174441,960156,,,,,
64,10,UN,Client-Server,1,961658,2323333,865229508,1212364504,359453,,,,,
64,10,UN,Client-Server,2,950974,12018917,845739986,1818518585,52724,,,,,
64,10,UN,Client-Server,3,938148,36704994,814701175,1860231397,677891,,,,,
64,10,UN,Client-Server,4,934972,106477081,72608212,1910845894,817049,,,,,
64,10,UN,Client-Server,5,911155,289791046,561201404,2968873768,883964,,,,,
64,10,UN,Client-Server,6,954375,569042358,328673091,3327975791,794956,,,,,
64,10,UN,Client-Server,7,960799,770286499,237074701,4402212045,697823,,,,,
64,10,UN,Client-Server,8,626211,943934143,176311116,4042570405,972709,,,,,
64,10,UN,Client-Server,9,557324,1112935791,137785534,5117790831,972031,,,,,
64,10,UN,Client-Server,1,504446,1258460205,125978201,6065736672,973524,,,,,
64,4,HR,Client-Server,1,549508,1222985,327044772,1327334659,297951,,,,,
64,4,HR,Client-Server,2,509507,5670937,328113813,1501504698,357118,,,,,
64,4,HR,Client-Server,3,531845,16238094,303152729,1517024022,479036,,,,,
64,4,HR,Client-Server,4,519655,4507972,279317307,1455789406,543299,,,,,
64,4,HR,Client-Server,5,515341,129721649,198615324,1881893315,636632,,,,,
64,4,HR,Client-Server,6,452565,26234314,117981682,2090345171,649635,,,,,
64,4,HR,Client-Server,7,381618,347487946,96904514,2511787943,633707,,,,,
64,4,HR,Client-Server,8,355369,424036957,72491967,307120543,672917,,,,,
64,4,HR,Client-Server,9,32818,495345062,64535954,3621956835,681484,,,,,
64,4,HR,Client-Server,1,282082,575525146,51514464,3681474413,655035,,,,,
64,6,HR,Client-Server,1,572224,1282619,500454189,1708165016,310929,,,,,
64,6,HR,Client-Server,2,557274,6012516,479164027,2103200338,393715,,,,,
64,6,HR,Client-Server,3,585218,19425623,458150123,1875405626,500182,,,,,
64,6,HR,Client-Server,4,591425,45844761,455109135,2280018142,620903,,,,,
64,6,HR,Client-Server,5,557459,180532654,342885502,2637788002,678125,,,,,
64,6,HR,Client-Server,6,517327,358594482,230493497,2629292325,721146,,,,,
64,6,HR,Client-Server,7,458381,558683594,126359342,3158973789,728741,,,,,
64,6,HR,Client-Server,8,401393,662153564,109862502,3844868921,728264,,,,,
64,6,HR,Client-Server,9,365252,781969604,86830904,4843121879,725547,,,,,
64,6,HR,Client-Server,1,338053,8688797,86709082,5131942593,738628,,,,,
64,8,HR,Client-Server,1,567314,1354892,662928251,2119201174,265434,,,,,
64,8,HR,Client-Server,2,601986,71774,656473887,2342016821,407031,,,,,
64,8,HR,Client-Server,3,649676,21905952,619675549,2655360904,548307,,,,,
64,8,HR,Client-Server,4,627225,53570431,601248564,2517612877,638264,,,,,
64,8,HR,Client-Server,5,609125,193282196,507519015,2658641154,71276,,,,,
64,8,HR,Client-Server,6,564138,472804352,32266365,3926536213,757448,,,,,
64,8,HR,Client-Server,7,49258,717856323,189742882,429111536,75645,,,,,
64,8,HR,Client-Server,8,440587,889111389,139782762,4418932026,76625,,,,,
64,8,HR,Client-Server,9,409357,966465942,14469665,4776873467,785234,,,,,
64,8,HR,Client-Server,1,375879,1121980713,108468607,490147212,784288,,,,,
64,10,HR,Client-Server,1,63489,1522023,805937932,2383059193,308611,,,,,
64,10,HR,Client-Server,2,625327,7723398,79971602,2440137766,40151,,,,,
